Name,Gender,Social Status
King,Male,Royalty
Hamlet,Male,Royalty
Polonius,Male,Courtier
Horatio,Male,Courtier
Laertes,Male,Courtier
Voltimand,Male,Courtier
Cornelius,Male,Courtier
Rosencrantz,Male,Courtier
Guildenstern,Male,Courtier
Osric,Male,Courtier
Gentleman,Male,Courtier
1 Priest,Male,Courtier
Marcellus,Male,Officer
Bernardo,Male,Officer
Francisco,Male,Officer
Reynaldo,Male,Commoner
1 Clown,Male,Commoner
2 Clown,Male,Commoner
Fortinbras,Male,Royalty
Captain,Male,Officer
Ghost,Male,Supernatural
Queen,Female,Royalty
Ophelia,Female,Courtier
Sailor,Male,Commoner
Messenger,Male,Commoner
